                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.70759,                0.74976,                 1.3209,                0.83512,                0.75174,                 0.8757,                 0.6993,                0.81033,                0.85248,                 1.4135,             0.00051988,             0.00051988,             0.00051988
                     61,                0.72461,                0.76118,                 1.3415,                0.81021,                 0.8457,                0.88716,                0.70324,                0.85536,                0.86386,                 1.4491,              0.0005075,              0.0005075,              0.0005075
                     62,                0.70073,                 0.7352,                 1.3332,                0.82896,                0.87243,                0.90263,                0.72831,                0.77164,                0.75141,                 1.3851,             0.00049513,             0.00049513,             0.00049513
                     63,                0.71449,                0.76595,                 1.3314,                0.80514,                0.87265,                0.88703,                0.69932,                0.80448,                0.77127,                 1.3767,             0.00048275,             0.00048275,             0.00048275
                     64,                0.69801,                0.75627,                 1.3151,                0.89973,                0.80477,                0.90968,                0.72395,                 0.7966,                 0.7319,                 1.3744,             0.00047038,             0.00047038,             0.00047038
                     65,                0.67337,                0.71936,                 1.2987,                0.86944,                0.85097,                0.91385,                0.71824,                0.80322,                0.75012,                 1.4015,               0.000458,               0.000458,               0.000458
                     66,                0.68338,                0.72776,                 1.3023,                0.89539,                0.77653,                0.90275,                0.71917,                0.78702,                0.77274,                 1.3665,             0.00044563,             0.00044563,             0.00044563
                     67,                0.66385,                0.76379,                    1.3,                0.78537,                0.86104,                0.88579,                0.70759,                0.77025,                0.78323,                 1.3609,             0.00043325,             0.00043325,             0.00043325
                     68,                0.64385,                 0.6897,                  1.272,                0.90651,                0.81558,                0.93075,                0.73705,                 0.7673,                0.71193,                 1.3545,             0.00042087,             0.00042087,             0.00042087
                     69,                0.66074,                0.72922,                 1.2959,                0.82556,                0.80463,                0.89351,                0.71262,                0.77895,                0.78067,                 1.3743,              0.0004085,              0.0004085,              0.0004085
                     70,                0.64284,                0.65096,                 1.2877,                0.87609,                0.87347,                0.92345,                0.75667,                0.72174,                0.66883,                 1.3388,             0.00039613,             0.00039613,             0.00039613
                     71,                0.65267,                0.68847,                 1.2902,                0.85101,                0.78338,                0.88268,                0.70995,                0.74419,                0.80669,                 1.3418,             0.00038375,             0.00038375,             0.00038375
                     72,                0.65398,                0.66286,                 1.2878,                0.88554,                0.86876,                0.91539,                0.73325,                0.77153,                0.72272,                 1.3823,             0.00037138,             0.00037138,             0.00037138
                     73,                0.61439,                0.65934,                 1.2576,                 0.9051,                0.83358,                0.91894,                0.74022,                0.72196,                0.69577,                 1.3186,               0.000359,               0.000359,               0.000359
                     74,                0.63008,                 0.6597,                 1.2624,                0.93937,                0.86403,                0.92644,                0.75455,                0.72793,                0.65335,                 1.3172,             0.00034663,             0.00034663,             0.00034663
                     75,                0.60956,                0.64354,                  1.247,                0.83904,                0.85522,                0.91925,                0.73978,                0.72538,                0.67791,                 1.3294,             0.00033425,             0.00033425,             0.00033425
                     76,                0.66806,                0.70332,                 1.2882,                0.88905,                0.79676,                0.88066,                  0.708,                0.73931,                0.78039,                 1.3298,             0.00032188,             0.00032188,             0.00032188
                     77,                0.60842,                0.64128,                 1.2482,                0.87906,                0.87456,                0.93073,                0.76477,                0.69127,                0.64718,                 1.2906,              0.0003095,              0.0003095,              0.0003095
                     78,                0.60111,                0.60871,                 1.2489,                0.89083,                0.82784,                0.89358,                0.70723,                0.77352,                 0.7483,                 1.3825,             0.00029713,             0.00029713,             0.00029713
                     79,                0.62638,                0.65881,                 1.2538,                0.89348,                0.85451,                0.92262,                0.74817,                0.73032,                0.65653,                 1.3307,             0.00028475,             0.00028475,             0.00028475
                     80,                  0.588,                0.62744,                 1.2361,                0.89173,                0.85632,                0.92022,                0.75905,                0.71302,                0.65903,                 1.3021,             0.00027237,             0.00027237,             0.00027237
                     81,                0.60011,                0.61665,                 1.2315,                0.91129,                 0.8376,                0.93684,                0.77397,                0.67536,                0.63651,                 1.2766,                0.00026,                0.00026,                0.00026
                     82,                0.60675,                0.61453,                 1.2436,                0.92557,                0.87777,                0.92919,                0.75831,                0.72055,                0.65085,                 1.3095,             0.00024762,             0.00024762,             0.00024762
                     83,                 0.6113,                0.61134,                 1.2513,                0.91241,                0.87741,                0.91867,                0.75194,                0.72068,                0.68255,                  1.315,             0.00023525,             0.00023525,             0.00023525
                     84,                0.59486,                0.61892,                 1.2272,                0.91234,                0.87795,                0.93722,                0.77905,                0.67887,                0.61272,                 1.2666,             0.00022288,             0.00022288,             0.00022288
                     85,                0.58763,                0.60531,                 1.2282,                0.90246,                0.87302,                0.92973,                0.75964,                0.70424,                0.66911,                 1.2929,              0.0002105,              0.0002105,              0.0002105
                     86,                 0.5737,                0.59621,                 1.2239,                0.93971,                0.84465,                 0.9275,                0.76339,                0.69453,                0.64579,                  1.273,             0.00019813,             0.00019813,             0.00019813
                     87,                0.58183,                0.59249,                 1.2209,                0.86972,                0.91325,                0.93448,                 0.7602,                 0.7051,                0.62998,                 1.2939,             0.00018575,             0.00018575,             0.00018575
                     88,                0.57275,                0.58405,                 1.2244,                0.93232,                0.88196,                0.93658,                0.76733,                0.68182,                0.61665,                 1.2709,             0.00017338,             0.00017338,             0.00017338
                     89,                0.57625,                0.59644,                 1.2123,                0.87379,                0.87387,                0.91864,                0.76531,                0.67063,                0.64053,                 1.2538,               0.000161,               0.000161,               0.000161
                     90,                0.57579,                0.58373,                 1.2176,                0.91002,                0.87036,                0.92865,                0.77124,                0.70081,                0.63416,                 1.2909,             0.00014862,             0.00014862,             0.00014862
                     91,                0.41619,                0.52727,                 1.0931,                0.90007,                0.85034,                0.91415,                0.74465,                0.71714,                0.68719,                 1.3195,             0.00013625,             0.00013625,             0.00013625
                     92,                0.38877,                0.47122,                 1.0549,                0.84479,                0.88582,                0.91765,                0.74825,                  0.692,                0.68762,                 1.2861,             0.00012387,             0.00012387,             0.00012387
                     93,                0.37723,                0.41774,                 1.0621,                0.88694,                0.85611,                0.90326,                0.73197,                0.72238,                0.68402,                  1.311,              0.0001115,              0.0001115,              0.0001115
                     94,                0.36862,                0.41946,                 1.0406,                0.86161,                0.89534,                0.91313,                0.75252,                0.69341,                0.64375,                 1.3001,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.36149,                0.39794,                  1.031,                0.86473,                0.87913,                0.90013,                0.74027,                0.69602,                0.68344,                 1.3036,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.34678,                0.39464,                 1.0287,                0.90838,                0.85275,                0.90732,                0.74494,                0.69601,                0.68318,                 1.2986,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.36636,                0.36991,                  1.025,                0.87729,                0.87308,                0.90726,                0.74872,                0.69684,                0.66597,                 1.3009,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.37081,                0.40368,                 1.0423,                0.87979,                0.87346,                 0.9121,                0.73963,                0.71396,                0.66814,                  1.316,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.34549,                0.38487,                 1.0122,                 0.8912,                0.85741,                0.91221,                0.74504,                0.70964,                0.65802,                 1.3105,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.34619,                0.37694,                 1.0309,                0.90275,                0.84922,                0.91672,                0.75169,                0.70488,                0.64464,                 1.3061,             2.4875e-05,             2.4875e-05,             2.4875e-05
